"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht";;;;;;;;;;;;;;;;;;;;;;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;;;;;;;;;;;;;;;;;;;;;
Marges: Waarde;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Vervoerwijzen;Totaal;Totaal;Totaal;Auto (bestuurder);Auto (bestuurder);Auto (bestuurder);Auto (passagier);Auto (passagier);Auto (passagier);Trein;Trein;Trein;Bus/tram/metro;Bus/tram/metro;Bus/tram/metro;Fiets;Fiets;Fiets;Lopen;Lopen;Lopen;Overige vervoerwijze;Overige vervoerwijze;Overige vervoerwijze
;;Onderwerp;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit
Perioden;Leeftijd;Reismotieven;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten
1999*;Totaal;Totaal;3,41;10,96;23,72;1,06;16,16;23,91;0,48;19,04;28,42;0,07;51,39;50,84;0,16;11,99;27,45;0,87;3,18;19,02;0,65;1,3;20,87;0,12;17,13;32,31
1999*;Totaal;Van en naar het werk;0,59;14,78;24,83;0,23;20,62;28,76;0,05;21;31,52;0,02;42,46;42,14;0,04;12,21;25,63;0,15;3,5;17,29;0,05;0,89;10,52;0,05;17,77;27,97
1999*;Totaal;Winkelen, boodschappen doen;0,73;4,96;14,97;0,23;6,94;14,57;0,09;9,99;19,11;0,01;42,64;45,17;0,03;9,09;25,27;0,2;1,84;12,41;0,16;0,89;13,36;0,01;6,61;16,83
1999*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,3;6,85;17,64;0,02;21,61;25,68;0,03;8,84;17,26;0,01;38,37;40,22;0,03;13,55;27,43;0,12;2,81;15,61;0,08;0,71;9,97;0,01;9,96;28,17
1999*;Totaal;Vrije tijd;1,19;12,42;31,37;0,31;18,15;27,9;0,25;21,47;32,46;0,02;66,83;68,11;0,04;12,48;31,66;0,27;4,61;28,74;0,27;1,93;33,08;0,03;16,92;45,59
1999*;Totaal;Overige reismotieven;0,59;13,76;21,22;0,26;17,63;23,07;0,07;25,15;28,39;0,01;67,94;60,15;0,02;12,16;26,73;0,13;2,18;13,69;0,09;0,89;12,77;0,02;27,23;31,9
2000*;Totaal;Totaal;3,35;11;23,73;1,05;16,25;23,92;0,46;18,99;28,3;0,07;51,29;50,82;0,15;12,01;27,37;0,86;3,2;19;0,63;1,33;21,11;0,12;16,83;31,9
2000*;Totaal;Van en naar het werk;0,59;14,85;24,77;0,24;20,84;28,79;0,04;21,09;31,37;0,03;42,26;42,06;0,04;11,92;25,51;0,15;3,52;17,22;0,05;0,89;10,52;0,05;17,38;27,3
