"Mobiliteit; per verplaatsing, verplaatsingskenmerken, vervoerwijzen, regio"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"";""
"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2018";"2019";"2023";"2018";"2019";"2023";"2018";"2019";"2023";"2018";"2019";"2023";"2018";"2019";"2023";"2018";"2019";"2023"
"Vervoerwijzen";"Verplaatsingskenmerken";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers"
"Totaal";"Totaal verplaatsingskenmerken ";"13,00";"13,29";"11,76";"12,08";"12,11";"10,57";"12,87";"13,17";"11,76";"12,67";"13,24";"11,80";"13,91";"13,89";"12,45";"14,37";"15,68";"13,78"
"Personenauto (bestuurder)";"Totaal verplaatsingskenmerken ";"18,96";"19,00";"17,67";"20,49";"20,05";"18,40";"19,17";"18,85";"17,55";"17,56";"18,39";"16,98";"18,76";"18,47";"17,52";"18,79";"20,22";"18,59"
"Personenauto  (passagier)";"Totaal verplaatsingskenmerken ";"20,60";"21,30";"20,12";"21,89";"20,57";"20,42";"20,38";"20,66";"19,85";"18,26";"21,81";"19,87";"21,63";"21,83";"19,99";"20,55";"22,74";"21,32"
"Trein";"Totaal verplaatsingskenmerken ";"49,29";"49,84";"49,32";"47,38";"48,85";"48,17";"49,78";"52,36";"50,28";"46,30";"47,03";"44,43";"56,82";"50,97";"56,98";"56,80";"45,89";"47,43"
"Bus/tram/metro";"Totaal verplaatsingskenmerken ";"13,91";"14,64";"14,29";"10,54";"11,04";"10,72";"14,93";"16,10";"16,55";"19,67";"18,57";"20,03";"21,62";"23,30";"22,64";"23,36";"25,88";"27,82"
"Fiets";"Totaal verplaatsingskenmerken ";"3,99";"3,97";"4,00";"3,79";"3,80";"3,86";"3,90";"3,81";"3,78";"4,00";"3,96";"4,05";"4,12";"4,23";"4,27";"4,80";"4,78";"4,81"
"Lopen";"Totaal verplaatsingskenmerken ";"2,02";"2,07";"2,05";"1,97";"2,01";"1,94";"2,01";"2,09";"2,03";"2,12";"2,01";"2,11";"2,03";"2,13";"2,18";"2,05";"2,24";"2,19"
"Bron: CBS"
